,Unnamed: 0,stamp,humidity,temperature,cfa,cfb,date
0,979,1682980695,40.0,64.0,1.98,2.63,2023-05-01 22:38:15
1,1281,1682980815,40.0,64.0,1.61,2.29,2023-05-01 22:40:15
2,583,1682980935,40.0,64.0,1.97,1.82,2023-05-01 22:42:15
3,1180,1682981055,41.0,64.0,1.89,1.93,2023-05-01 22:44:15
4,1077,1682981175,40.0,64.0,1.55,1.79,2023-05-01 22:46:15
5,776,1682981295,41.0,64.0,2.62,2.25,2023-05-01 22:48:15
6,1280,1682981415,41.0,64.0,1.97,2.09,2023-05-01 22:50:15
7,516,1682981535,41.0,64.0,1.93,2.66,2023-05-01 22:52:15
8,1138,1682981655,42.0,64.0,1.95,1.97,2023-05-01 22:54:15
9,77,1682981775,41.0,64.0,2.07,2.33,2023-05-01 22:56:15
10,1373,1682981895,42.0,64.0,2.22,2.29,2023-05-01 22:58:15
11,934,1682982015,43.0,63.0,2.63,2.55,2023-05-01 23:00:15
12,631,1682982135,42.0,63.0,1.75,2.0,2023-05-01 23:02:15
13,1212,1682982255,43.0,63.0,2.13,1.63,2023-05-01 23:04:15
14,582,1682982375,43.0,63.0,1.66,2.64,2023-05-01 23:06:15
15,1244,1682982495,42.0,63.0,1.82,2.11,2023-05-01 23:08:15
16,1181,1682982615,42.0,63.0,2.0,2.07,2023-05-01 23:10:15
17,3,1682982735,42.0,63.0,1.0,1.85,2023-05-01 23:12:15
18,1139,1682982855,42.0,63.0,1.95,1.81,2023-05-01 23:14:15
19,1407,1682982975,42.0,63.0,1.74,1.96,2023-05-01 23:16:15
20,1136,1682983095,43.0,63.0,2.22,1.96,2023-05-01 23:18:15
21,887,1682983215,43.0,63.0,1.93,2.33,2023-05-01 23:20:15
22,851,1682983335,43.0,62.0,1.49,2.09,2023-05-01 23:22:15
23,1213,1682983455,43.0,62.0,2.45,2.44,2023-05-01 23:24:15
24,584,1682983575,44.0,62.0,2.05,2.16,2023-05-01 23:26:15
25,890,1682983695,43.0,62.0,2.26,2.36,2023-05-01 23:28:15
26,1078,1682983815,43.0,62.0,1.75,1.89,2023-05-01 23:30:15
27,272,1682983935,44.0,62.0,1.67,2.09,2023-05-01 23:32:15
28,889,1682984055,44.0,62.0,1.57,1.93,2023-05-01 23:34:15
29,1408,1682984176,44.0,62.0,1.74,2.08,2023-05-01 23:36:16
30,387,1682984296,44.0,62.0,1.57,2.18,2023-05-01 23:38:16
31,1034,1682984415,44.0,62.0,1.41,1.88,2023-05-01 23:40:15
32,935,1682984536,44.0,62.0,1.91,1.72,2023-05-01 23:42:16
33,1137,1682984656,44.0,62.0,1.7,2.71,2023-05-01 23:44:16
34,1331,1682984776,44.0,62.0,1.75,2.18,2023-05-01 23:46:16
35,1033,1682984896,44.0,62.0,1.93,2.76,2023-05-01 23:48:16
36,42,1682985016,44.0,61.0,1.8,2.07,2023-05-01 23:50:16
37,1372,1682985136,45.0,61.0,1.71,1.78,2023-05-01 23:52:16
38,888,1682985256,45.0,61.0,1.9,2.89,2023-05-01 23:54:16
39,1245,1682985376,45.0,61.0,2.14,2.04,2023-05-01 23:56:16
40,980,1682985496,45.0,61.0,1.89,2.33,2023-05-01 23:58:16
41,54,1682985616,45.0,61.0,2.16,1.93,2023-05-02 00:00:16
42,1420,1682985736,45.0,61.0,2.59,2.75,2023-05-02 00:02:16
43,10,1682985856,45.0,61.0,1.96,2.93,2023-05-02 00:04:16
44,322,1682985976,45.0,61.0,1.95,2.69,2023-05-02 00:06:16
45,1258,1682986096,46.0,61.0,2.5,2.16,2023-05-02 00:08:16
46,899,1682986216,46.0,61.0,2.07,2.49,2023-05-02 00:10:16
47,901,1682986336,46.0,61.0,2.71,2.51,2023-05-02 00:12:16
48,528,1682986456,46.0,61.0,2.84,3.41,2023-05-02 00:14:16
49,1292,1682986576,46.0,61.0,2.61,3.24,2023-05-02 00:16:16
50,1145,1682986696,46.0,61.0,2.79,2.98,2023-05-02 00:18:16
51,678,1682986816,46.0,61.0,3.09,3.04,2023-05-02 00:20:16
52,947,1682986936,47.0,61.0,2.66,2.75,2023-05-02 00:22:16
53,286,1682987056,47.0,61.0,3.32,3.14,2023-05-02 00:24:16
54,531,1682987176,47.0,61.0,2.91,3.2,2023-05-02 00:26:16
55,164,1682987296,47.0,61.0,3.32,3.9,2023-05-02 00:28:16
56,287,1682987416,47.0,61.0,2.56,3.53,2023-05-02 00:30:16
57,904,1682987536,48.0,60.0,3.16,2.91,2023-05-02 00:32:16
58,397,1682987656,48.0,61.0,3.56,3.62,2023-05-02 00:34:16
59,439,1682987776,48.0,60.0,2.79,3.12,2023-05-02 00:36:16
60,953,1682987896,48.0,60.0,3.5,3.24,2023-05-02 00:38:16
61,1287,1682988016,48.0,60.0,3.02,3.97,2023-05-02 00:40:16
62,824,1682988136,49.0,60.0,3.9,3.37,2023-05-02 00:42:16
63,715,1682988256,49.0,60.0,3.63,4.36,2023-05-02 00:44:16
64,364,1682988376,49.0,60.0,4.05,4.47,2023-05-02 00:46:16
65,445,1682988496,50.0,60.0,3.68,4.78,2023-05-02 00:48:16
66,1002,1682988616,50.0,60.0,4.62,3.77,2023-05-02 00:50:16
67,529,1682988736,50.0,60.0,3.6,4.58,2023-05-02 00:52:16
68,50,1682988856,50.0,60.0,5.21,4.2,2023-05-02 00:54:16
69,1347,1682988976,50.0,60.0,4.29,3.95,2023-05-02 00:56:16
70,1385,1682989096,51.0,60.0,4.44,4.98,2023-05-02 00:58:16
71,285,1682989216,51.0,60.0,4.47,4.45,2023-05-02 01:00:16
72,1221,1682989336,51.0,60.0,4.36,4.41,2023-05-02 01:02:16
73,1416,1682989456,51.0,60.0,4.29,4.81,2023-05-02 01:04:16
