,Unnamed: 0,stamp,humidity,temperature,cfa,cfb,date
0,658,1682980689,31.0,71.0,2.45,2.33,2023-05-01 22:38:09
1,226,1682980809,31.0,71.0,3.4,3.25,2023-05-01 22:40:09
2,1401,1682980929,31.0,71.0,2.98,3.73,2023-05-01 22:42:09
3,1402,1682981049,32.0,70.0,2.97,3.88,2023-05-01 22:44:09
4,843,1682981169,32.0,69.0,2.22,3.26,2023-05-01 22:46:09
5,766,1682981289,32.0,69.0,1.54,3.02,2023-05-01 22:48:09
6,1400,1682981409,32.0,69.0,2.53,2.37,2023-05-01 22:50:09
7,736,1682981529,32.0,69.0,2.88,2.75,2023-05-01 22:52:09
8,844,1682981649,32.0,63.0,2.47,2.57,2023-05-01 22:54:09
9,185,1682981769,32.0,68.0,1.87,2.66,2023-05-01 22:56:09
10,44,1682981889,32.0,68.0,2.32,2.89,2023-05-01 22:58:09
11,536,1682982009,32.0,67.0,2.09,2.18,2023-05-01 23:00:09
12,1322,1682982129,32.0,67.0,2.64,2.9,2023-05-01 23:02:09
13,734,1682982249,32.0,67.0,2.6,2.83,2023-05-01 23:04:09
14,136,1682982370,33.0,67.0,3.07,3.64,2023-05-01 23:06:10
15,325,1682982490,33.0,67.0,3.06,2.75,2023-05-01 23:08:10
16,101,1682982610,33.0,67.0,2.1,3.13,2023-05-01 23:10:10
17,454,1682982730,33.0,67.0,3.45,4.16,2023-05-01 23:12:10
18,1087,1682982850,33.0,66.0,3.3,3.04,2023-05-01 23:14:10
19,687,1682982970,34.0,66.0,1.95,2.65,2023-05-01 23:16:10
20,1243,1682983090,34.0,66.0,2.25,3.14,2023-05-01 23:18:10
21,768,1682983210,34.0,66.0,2.21,2.05,2023-05-01 23:20:10
22,324,1682983330,34.0,65.0,2.88,2.74,2023-05-01 23:22:10
23,767,1682983450,35.0,65.0,2.42,2.52,2023-05-01 23:24:10
24,1202,1682983570,35.0,65.0,2.21,2.21,2023-05-01 23:26:10
25,735,1682983690,35.0,65.0,1.97,2.14,2023-05-01 23:28:10
26,1321,1682983810,35.0,65.0,2.05,2.5,2023-05-01 23:30:10
27,370,1682983930,35.0,65.0,2.12,2.67,2023-05-01 23:32:10
28,453,1682984050,35.0,65.0,2.11,2.14,2023-05-01 23:34:10
29,408,1682984170,35.0,65.0,2.14,3.24,2023-05-01 23:36:10
30,1279,1682984290,35.0,65.0,1.8,2.18,2023-05-01 23:38:10
31,1047,1682984410,36.0,64.0,2.05,2.37,2023-05-01 23:40:10
32,497,1682984530,36.0,64.0,1.8,2.29,2023-05-01 23:42:10
33,496,1682984650,36.0,64.0,1.84,2.84,2023-05-01 23:44:10
34,1048,1682984770,36.0,64.0,2.96,1.89,2023-05-01 23:46:10
35,686,1682984890,36.0,64.0,2.89,2.09,2023-05-01 23:48:10
36,657,1682985010,36.0,63.0,1.77,2.28,2023-05-01 23:50:10
37,805,1682985130,36.0,64.0,1.51,1.95,2023-05-01 23:52:10
38,100,1682985251,36.0,62.0,1.53,2.39,2023-05-01 23:54:11
39,607,1682985370,36.0,63.0,1.69,2.34,2023-05-01 23:56:10
40,1278,1682985490,36.0,63.0,2.66,2.05,2023-05-01 23:58:10
41,611,1682985610,37.0,63.0,1.61,1.91,2023-05-02 00:00:10
42,1127,1682985730,37.0,63.0,2.12,2.11,2023-05-02 00:02:10
43,500,1682985850,37.0,61.0,2.07,2.42,2023-05-02 00:04:10
44,1167,1682985970,37.0,63.0,2.26,2.72,2023-05-02 00:06:10
45,1247,1682986090,37.0,63.0,2.2,1.84,2023-05-02 00:08:10
46,692,1682986210,37.0,63.0,2.57,3.64,2023-05-02 00:10:10
47,584,1682986330,37.0,62.0,2.16,3.02,2023-05-02 00:12:10
48,1206,1682986450,38.0,63.0,3.05,2.19,2023-05-02 00:14:10
49,1093,1682986570,38.0,63.0,2.79,3.35,2023-05-02 00:16:10
50,583,1682986690,38.0,63.0,2.05,2.79,2023-05-02 00:18:10
51,856,1682986810,38.0,63.0,2.4,2.05,2023-05-02 00:20:10
52,1098,1682986930,38.0,62.0,2.55,2.16,2023-05-02 00:22:10
53,619,1682987050,38.0,62.0,3.07,2.59,2023-05-02 00:24:10
54,1215,1682987170,39.0,62.0,1.91,3.07,2023-05-02 00:26:10
55,409,1682987290,39.0,62.0,1.72,2.03,2023-05-02 00:28:10
56,747,1682987410,39.0,62.0,2.33,2.34,2023-05-02 00:30:10
57,154,1682987530,39.0,62.0,2.4,3.05,2023-05-02 00:32:10
58,780,1682987650,39.0,62.0,2.0,2.36,2023-05-02 00:34:10
59,335,1682987770,39.0,62.0,2.88,2.57,2023-05-02 00:36:10
60,197,1682987890,39.0,62.0,2.77,3.04,2023-05-02 00:38:10
61,1366,1682988010,40.0,62.0,2.72,2.77,2023-05-02 00:40:10
