,Unnamed: 0,stamp,humidity,temperature,cfa,cfb,date
0,697,1682980700,36.0,63.0,3.25,3.86,2023-05-01 22:38:20
1,500,1682980820,36.0,63.0,2.42,3.18,2023-05-01 22:40:20
2,728,1682980939,36.0,63.0,3.3,3.86,2023-05-01 22:42:19
3,1415,1682981060,36.0,63.0,3.22,2.66,2023-05-01 22:44:20
4,661,1682981180,36.0,63.0,2.93,3.32,2023-05-01 22:46:20
5,1089,1682981300,36.0,63.0,2.5,2.83,2023-05-01 22:48:20
6,15,1682981420,35.0,63.0,2.4,2.62,2023-05-01 22:50:20
7,817,1682981540,35.0,63.0,1.98,2.66,2023-05-01 22:52:20
8,1416,1682981659,35.0,63.0,2.1,2.68,2023-05-01 22:54:19
9,777,1682981779,35.0,63.0,2.0,2.88,2023-05-01 22:56:19
10,1372,1682981899,36.0,63.0,3.05,2.72,2023-05-01 22:58:19
11,13,1682982019,36.0,63.0,3.37,3.65,2023-05-01 23:00:19
12,626,1682982139,36.0,62.0,3.67,3.46,2023-05-01 23:02:19
13,729,1682982260,37.0,62.0,3.66,4.65,2023-05-01 23:04:20
14,627,1682982380,37.0,62.0,3.84,4.54,2023-05-01 23:06:20
15,856,1682982499,37.0,62.0,4.46,5.56,2023-05-01 23:08:19
16,381,1682982619,37.0,62.0,3.98,3.98,2023-05-01 23:10:19
17,779,1682982740,38.0,62.0,2.97,4.18,2023-05-01 23:12:20
18,466,1682982860,38.0,62.0,3.43,4.28,2023-05-01 23:14:20
19,1117,1682982980,38.0,62.0,3.09,3.77,2023-05-01 23:16:20
20,857,1682983100,38.0,62.0,3.25,3.67,2023-05-01 23:18:20
21,89,1682983220,38.0,59.0,2.95,3.89,2023-05-01 23:20:20
22,133,1682983340,38.0,62.0,3.13,3.86,2023-05-01 23:22:20
23,1414,1682983460,38.0,62.0,3.42,3.81,2023-05-01 23:24:20
24,929,1682983580,38.0,59.0,2.91,3.92,2023-05-01 23:26:20
25,1192,1682983700,38.0,62.0,3.59,3.17,2023-05-01 23:28:20
26,1090,1682983820,38.0,62.0,2.75,3.8,2023-05-01 23:30:20
27,660,1682983940,38.0,62.0,2.59,3.75,2023-05-01 23:32:20
28,282,1682984060,38.0,60.0,5.09,6.85,2023-05-01 23:34:20
29,659,1682984180,38.0,62.0,4.14,5.16,2023-05-01 23:36:20
30,1328,1682984300,38.0,62.0,3.9,4.11,2023-05-01 23:38:20
31,1329,1682984420,38.0,62.0,3.08,3.98,2023-05-01 23:40:20
32,818,1682984540,38.0,62.0,2.64,3.52,2023-05-01 23:42:20
33,568,1682984660,38.0,62.0,2.53,3.98,2023-05-01 23:44:20
34,819,1682984780,39.0,62.0,3.12,3.72,2023-05-01 23:46:20
35,1285,1682984900,39.0,61.0,3.28,3.49,2023-05-01 23:48:20
36,816,1682985020,38.0,61.0,2.81,3.03,2023-05-01 23:50:20
37,134,1682985140,38.0,61.0,2.95,3.51,2023-05-01 23:52:20
38,135,1682985260,38.0,61.0,2.71,4.39,2023-05-01 23:54:20
39,778,1682985380,38.0,62.0,2.53,2.8,2023-05-01 23:56:20
40,14,1682985500,38.0,61.0,2.95,3.44,2023-05-01 23:58:20
41,1244,1682985622,38.0,62.0,2.47,3.53,2023-05-02 00:00:22
42,421,1682985740,38.0,62.0,2.67,3.59,2023-05-02 00:02:20
43,140,1682985860,38.0,59.0,2.69,3.64,2023-05-02 00:04:20
44,386,1682985980,38.0,60.0,2.53,3.39,2023-05-02 00:06:20
45,861,1682986100,38.0,61.0,2.95,3.44,2023-05-02 00:08:20
46,1427,1682986220,38.0,61.0,2.86,3.12,2023-05-02 00:10:20
47,214,1682986340,38.0,61.0,2.46,3.29,2023-05-02 00:12:20
48,1120,1682986460,38.0,61.0,2.34,3.35,2023-05-02 00:14:20
49,668,1682986580,37.0,61.0,2.82,2.77,2023-05-02 00:16:20
50,1439,1682986700,37.0,61.0,2.48,3.0,2023-05-02 00:18:20
51,1304,1682986820,37.0,61.0,2.67,2.88,2023-05-02 00:20:20
52,1127,1682986940,38.0,61.0,2.6,3.83,2023-05-02 00:22:20
53,435,1682987061,38.0,51.0,3.5,3.47,2023-05-02 00:24:21
54,105,1682987181,38.0,61.0,3.1,3.15,2023-05-02 00:26:21
55,1098,1682987300,38.0,61.0,2.93,3.35,2023-05-02 00:28:20
56,1054,1682987420,38.0,61.0,2.68,3.05,2023-05-02 00:30:20
57,1236,1682987540,38.0,61.0,2.25,2.95,2023-05-02 00:32:20
58,872,1682987660,38.0,61.0,1.97,3.42,2023-05-02 00:34:20
59,1438,1682987780,38.0,61.0,3.0,3.73,2023-05-02 00:36:20
60,1286,1682987900,38.0,61.0,2.95,3.78,2023-05-02 00:38:20
61,336,1682988020,39.0,61.0,4.05,3.76,2023-05-02 00:40:20
62,752,1682988140,39.0,61.0,4.29,4.84,2023-05-02 00:42:20
63,338,1682988260,39.0,61.0,4.46,4.84,2023-05-02 00:44:20
64,977,1682988380,40.0,61.0,4.03,4.64,2023-05-02 00:46:20
65,603,1682988500,40.0,61.0,4.89,6.14,2023-05-02 00:48:20
66,735,1682988620,40.0,61.0,5.07,5.24,2023-05-02 00:50:20
67,1382,1682988740,40.0,60.0,4.85,5.22,2023-05-02 00:52:20
68,866,1682988860,41.0,61.0,4.85,5.71,2023-05-02 00:54:20
69,189,1682988980,41.0,60.0,4.75,5.2,2023-05-02 00:56:20
70,871,1682989100,41.0,60.0,4.88,5.81,2023-05-02 00:58:20
71,1337,1682989220,41.0,60.0,4.12,5.05,2023-05-02 01:00:20
72,1375,1682989340,41.0,60.0,6.2,6.95,2023-05-02 01:02:20
73,667,1682989460,41.0,60.0,5.38,6.41,2023-05-02 01:04:20
74,284,1682989580,42.0,60.0,5.68,6.82,2023-05-02 01:06:20
75,897,1682989700,42.0,60.0,5.02,6.45,2023-05-02 01:08:20
76,383,1682989820,42.0,60.0,4.63,5.3,2023-05-02 01:10:20
77,971,1682989940,42.0,60.0,4.81,4.97,2023-05-02 01:12:20
78,1045,1682990060,42.0,60.0,3.96,5.37,2023-05-02 01:14:20
79,575,1682990180,42.0,60.0,4.22,5.43,2023-05-02 01:16:20
80,1015,1682990300,42.0,60.0,4.68,6.56,2023-05-02 01:18:20
81,1379,1682990421,43.0,60.0,5.89,6.72,2023-05-02 01:20:21
82,332,1682990541,43.0,59.0,5.72,5.88,2023-05-02 01:22:21
83,1243,1682990661,43.0,59.0,5.21,5.61,2023-05-02 01:24:21
84,664,1682990781,43.0,59.0,6.12,7.02,2023-05-02 01:26:21
85,788,1682990901,44.0,59.0,5.02,6.93,2023-05-02 01:28:21
86,1290,1682991021,44.0,59.0,5.33,6.05,2023-05-02 01:30:21
87,257,1682991141,44.0,59.0,4.95,5.4,2023-05-02 01:32:21
88,1381,1682991261,44.0,59.0,4.93,6.1,2023-05-02 01:34:21
89,1171,1682991381,44.0,58.0,5.5,6.0,2023-05-02 01:36:21
90,103,1682991501,45.0,59.0,4.44,5.13,2023-05-02 01:38:21
91,633,1682991621,45.0,59.0,6.48,7.38,2023-05-02 01:40:21
92,581,1682991741,45.0,59.0,7.63,7.52,2023-05-02 01:42:21
93,1432,1682991861,45.0,59.0,5.8,7.26,2023-05-02 01:44:21
94,905,1682991981,46.0,59.0,6.64,8.16,2023-05-02 01:46:21
95,1200,1682992101,46.0,59.0,6.66,7.36,2023-05-02 01:48:21
96,344,1682992221,46.0,59.0,7.82,9.55,2023-05-02 01:50:21
97,827,1682992341,46.0,59.0,7.95,8.64,2023-05-02 01:52:21
98,149,1682992461,47.0,59.0,7.12,7.61,2023-05-02 01:54:21
99,1422,1682992581,47.0,59.0,8.24,9.67,2023-05-02 01:56:21
100,671,1682992701,47.0,59.0,7.34,8.51,2023-05-02 01:58:21
101,1170,1682992821,47.0,59.0,7.41,8.08,2023-05-02 02:00:21
102,1421,1682992941,48.0,59.0,6.86,8.9,2023-05-02 02:02:21
103,430,1682993061,48.0,59.0,6.88,8.55,2023-05-02 02:04:21
104,609,1682993181,48.0,58.0,7.29,7.31,2023-05-02 02:06:21
105,1160,1682993301,48.0,58.0,7.16,9.08,2023-05-02 02:08:21
106,733,1682993421,49.0,58.0,9.45,9.32,2023-05-02 02:10:21
107,504,1682993541,49.0,58.0,8.24,8.23,2023-05-02 02:12:21
108,1165,1682993661,49.0,58.0,7.44,9.35,2023-05-02 02:14:21
109,903,1682993781,49.0,58.0,8.02,9.43,2023-05-02 02:16:21
110,1378,1682993901,49.0,58.0,9.36,12.88,2023-05-02 02:18:21
111,700,1682994022,49.0,58.0,10.16,12.65,2023-05-02 02:20:22
112,1047,1682994141,49.0,58.0,9.85,11.32,2023-05-02 02:22:21
113,16,1682994261,50.0,58.0,8.46,10.03,2023-05-02 02:24:21
114,1121,1682994381,50.0,58.0,9.24,10.14,2023-05-02 02:26:21
115,54,1682994501,50.0,58.0,8.8,9.21,2023-05-02 02:28:21
116,1373,1682994621,50.0,58.0,9.32,9.71,2023-05-02 02:30:21
117,1006,1682994741,51.0,58.0,7.21,8.32,2023-05-02 02:32:21
118,51,1682994861,51.0,57.0,6.24,7.59,2023-05-02 02:34:21
119,1331,1682994981,51.0,57.0,5.6,6.82,2023-05-02 02:36:21
120,574,1682995102,52.0,57.0,6.18,7.69,2023-05-02 02:38:22
121,1376,1682995221,52.0,57.0,5.87,7.24,2023-05-02 02:40:21
122,1249,1682995341,52.0,57.0,6.61,7.46,2023-05-02 02:42:21
123,425,1682995461,52.0,57.0,7.14,7.61,2023-05-02 02:44:21
124,434,1682995581,52.0,57.0,6.67,7.51,2023-05-02 02:46:21
125,143,1682995701,53.0,57.0,6.13,7.2,2023-05-02 02:48:21
126,1052,1682995821,53.0,57.0,7.14,7.04,2023-05-02 02:50:21
127,606,1682995941,53.0,57.0,6.4,7.58,2023-05-02 02:52:21
128,92,1682996061,54.0,57.0,6.12,6.59,2023-05-02 02:54:21
129,1292,1682996182,54.0,57.0,6.76,7.14,2023-05-02 02:56:22
130,1287,1682996301,54.0,57.0,5.98,7.41,2023-05-02 02:58:21
131,1197,1682996421,54.0,57.0,6.81,6.96,2023-05-02 03:00:21
132,698,1682996541,54.0,57.0,6.16,6.66,2023-05-02 03:02:21
133,822,1682996661,55.0,57.0,6.11,7.67,2023-05-02 03:04:21
134,669,1682996781,55.0,56.0,5.82,7.56,2023-05-02 03:06:21
135,1332,1682996901,55.0,57.0,6.02,6.56,2023-05-02 03:08:21
136,1425,1682997023,56.0,57.0,6.76,7.6,2023-05-02 03:10:23
137,744,1682997141,56.0,54.0,6.77,8.0,2023-05-02 03:12:21
138,750,1682997261,56.0,57.0,6.25,8.12,2023-05-02 03:14:21
139,1008,1682997381,56.0,56.0,6.33,6.91,2023-05-02 03:16:21
140,673,1682997501,56.0,56.0,5.9,6.98,2023-05-02 03:18:21
141,224,1682997622,56.0,56.0,6.61,7.64,2023-05-02 03:20:22
142,217,1682997741,57.0,56.0,6.68,7.11,2023-05-02 03:22:21
143,1418,1682997861,57.0,56.0,5.76,7.91,2023-05-02 03:24:21
144,1383,1682997981,57.0,56.0,6.33,7.17,2023-05-02 03:26:21
145,394,1682998102,57.0,46.0,6.33,7.42,2023-05-02 03:28:22
146,184,1682998221,58.0,56.0,6.39,7.56,2023-05-02 03:30:21
147,423,1682998341,58.0,56.0,6.55,7.71,2023-05-02 03:32:21
148,1338,1682998461,58.0,56.0,6.72,8.03,2023-05-02 03:34:21
149,295,1682998582,58.0,56.0,6.05,7.93,2023-05-02 03:36:22
150,511,1682998701,59.0,56.0,7.38,8.14,2023-05-02 03:38:21
151,896,1682998822,59.0,56.0,6.42,7.96,2023-05-02 03:40:22
152,1118,1682998943,59.0,56.0,6.69,7.98,2023-05-02 03:42:23
153,1053,1682999061,59.0,56.0,7.26,6.74,2023-05-02 03:44:21
154,1377,1682999182,59.0,56.0,7.19,8.45,2023-05-02 03:46:22
155,95,1682999302,59.0,51.0,6.69,6.82,2023-05-02 03:48:22
156,1342,1682999421,59.0,56.0,6.18,7.41,2023-05-02 03:50:21
157,1166,1682999541,60.0,56.0,6.77,7.33,2023-05-02 03:52:21
158,934,1682999662,60.0,56.0,7.09,7.88,2023-05-02 03:54:22
159,894,1682999782,60.0,54.0,6.21,6.89,2023-05-02 03:56:22
160,824,1682999901,60.0,56.0,7.63,6.64,2023-05-02 03:58:21
161,1194,1683000021,60.0,56.0,7.13,7.4,2023-05-02 04:00:21
162,1124,1683000141,60.0,56.0,6.19,7.85,2023-05-02 04:02:21
163,870,1683000261,60.0,56.0,7.29,8.91,2023-05-02 04:04:21
164,397,1683000382,60.0,56.0,7.34,8.28,2023-05-02 04:06:22
165,1256,1683000501,60.0,56.0,7.21,7.68,2023-05-02 04:08:21
166,223,1683000622,60.0,56.0,7.22,7.24,2023-05-02 04:10:22
167,1241,1683000741,60.0,56.0,7.66,7.71,2023-05-02 04:12:21
168,732,1683000861,60.0,56.0,6.97,8.58,2023-05-02 04:14:21
169,1162,1683000981,61.0,56.0,7.32,8.41,2023-05-02 04:16:21
170,222,1683001101,61.0,56.0,7.49,8.13,2023-05-02 04:18:21
171,635,1683001222,61.0,55.0,7.57,6.82,2023-05-02 04:20:22
172,179,1683001342,61.0,55.0,6.64,7.64,2023-05-02 04:22:22
173,1198,1683001462,61.0,55.0,6.61,7.68,2023-05-02 04:24:22
174,976,1683001582,61.0,55.0,5.88,7.82,2023-05-02 04:26:22
175,1097,1683001702,61.0,55.0,7.12,7.6,2023-05-02 04:28:22
176,101,1683001822,62.0,55.0,7.0,8.52,2023-05-02 04:30:22
177,1374,1683001942,62.0,55.0,7.81,8.55,2023-05-02 04:32:22
178,432,1683002062,62.0,55.0,7.43,7.7,2023-05-02 04:34:22
179,831,1683002182,62.0,55.0,7.09,7.81,2023-05-02 04:36:22
180,349,1683002302,62.0,55.0,6.79,7.56,2023-05-02 04:38:22
181,1058,1683002422,62.0,55.0,7.36,8.41,2023-05-02 04:40:22
182,1044,1683002542,62.0,55.0,6.34,7.71,2023-05-02 04:42:22
183,549,1683002662,62.0,55.0,7.19,7.04,2023-05-02 04:44:22
184,21,1683002782,62.0,55.0,5.7,7.41,2023-05-02 04:46:22
185,939,1683002902,62.0,55.0,6.82,7.75,2023-05-02 04:48:22
186,1158,1683003022,62.0,55.0,7.1,7.21,2023-05-02 04:50:22
187,345,1683003142,62.0,55.0,6.0,7.21,2023-05-02 04:52:22
188,62,1683003262,62.0,55.0,6.46,7.17,2023-05-02 04:54:22
189,254,1683003382,62.0,55.0,7.91,8.44,2023-05-02 04:56:22
190,746,1683003502,63.0,55.0,6.52,6.68,2023-05-02 04:58:22
191,784,1683003622,63.0,55.0,5.76,6.4,2023-05-02 05:00:22
192,1430,1683003742,63.0,55.0,7.14,7.67,2023-05-02 05:02:22
193,550,1683003862,63.0,55.0,6.75,6.8,2023-05-02 05:04:22
